DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_PURPOSE_TRIP,TYPE_DESTINATION,TYPE_CULTURAL_ACTIVITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_PURPOSE_TRIP,NOTE_TYPE_DESTINATION,NOTE_TYPE_CULTURAL_ACTIVITY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2019,650,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2020,687,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2021,360,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2022,625,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2023,503,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2019,44737,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2020,25352,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2021,28266,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2022,37180,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2023,35200,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2019,17224,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2020,8903,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2021,9873,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2022,12911,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2023,11862,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2019,856,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2020,83,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2021,186,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2022,323,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2023,463,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2019,63467,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2020,35024,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2021,38685,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2022,51040,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2023,48028,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2019,309,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2020,308,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2021,191,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2022,374,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2023,228,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2019,24534,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2020,14394,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2021,17957,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2022,21679,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2023,20550,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2019,9842,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2020,4819,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2021,6253,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2022,7959,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2023,7625,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2019,573,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2020,,0,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2021,82,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2022,146,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2023,138,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2019,35258,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2020,19530,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2021,24483,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2022,30159,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2023,28540,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2019,341,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2020,380,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2021,169,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2022,251,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2023,276,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2019,20203,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2020,10958,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2021,10309,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2022,15501,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2023,14651,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2019,7383,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2020,4084,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2021,3620,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2022,4952,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2023,4237,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2019,283,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2020,73,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2021,104,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2022,177,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2023,325,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2019,28208,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2020,15495,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2021,14202,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2022,20881,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_ABS_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2023,19489,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2019,1,,,,,,,,,,,,,
