DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,MAIN_DESTINATION,TYPE_TRIP,MAIN_PURPOSE_TRIP,TYPE_DESTINATION,TYPE_CULTURAL_ACTIVITY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_MAIN_DESTINATION,NOTE_TYPE_TRIP,NOTE_MAIN_PURPOSE_TRIP,NOTE_TYPE_DESTINATION,NOTE_TYPE_CULTURAL_ACTIVITY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2020,2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2021,0.9,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2022,1.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,HEALTH,TOTAL,ALL_CULT,2023,1,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2019,70.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2020,72.4,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2021,73.1,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2022,72.8,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,PLEAS,TOTAL,ALL_CULT,2023,73.3,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2019,27.1,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2020,25.4,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2021,25.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2022,25.3,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELATIV,TOTAL,ALL_CULT,2023,24.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2019,1.3,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2020,0.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2021,0.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2022,0.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,RELIG,TOTAL,ALL_CULT,2023,1,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2019,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2020,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2021,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2022,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOL,TOT_VAC,TOTAL,ALL_CULT,2023,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2019,0.9,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2020,1.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2021,0.8,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2022,1.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,HEALTH,TOTAL,ALL_CULT,2023,0.8,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2019,69.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2020,73.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2021,73.3,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2022,71.9,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,PLEAS,TOTAL,ALL_CULT,2023,72,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2019,27.9,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2020,24.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2021,25.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2022,26.4,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELATIV,TOTAL,ALL_CULT,2023,26.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2019,1.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2020,,0,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2021,0.3,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2022,0.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,RELIG,TOTAL,ALL_CULT,2023,0.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2019,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2020,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2021,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2022,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLL,TOT_VAC,TOTAL,ALL_CULT,2023,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2019,1.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2020,2.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2021,1.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2022,1.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,HEALTH,TOTAL,ALL_CULT,2023,1.4,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2019,71.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2020,70.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2021,72.6,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2022,74.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,PLEAS,TOTAL,ALL_CULT,2023,75.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2019,26.2,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2020,26.4,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2021,25.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2022,23.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELATIV,TOTAL,ALL_CULT,2023,21.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2019,1,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2020,0.5,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2021,0.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2022,0.8,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,RELIG,TOTAL,ALL_CULT,2023,1.7,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2019,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2020,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2021,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2022,100,,,,,,,,,,,,,
IT1:68_1221_DF_DCCV_VIAGGI_CAPI_2_1(1.0),A,IT,TRIPS_PERC_SAME_TR_1,TOTAL,HOLS,TOT_VAC,TOTAL,ALL_CULT,2023,100,,,,,,,,,,,,,
